0
34, 0
36, 9, 0
26, 16, 146, 0
5, 1, 33, 26, 0
8, 4, 32, 95, 8, 0
30, 18, 70, 116, 7, 39, 0
16, 12, 168, 186, 77, 68, 48, 0
0, 0, 0, 0, 0, 0, 0, 3, 0
0, 0, 3, 10, 0, 7, 2, 2, 0, 0
2, 4, 40, 27, 0, 15, 8, 77, 1, 3, 0
7, 0, 16, 24, 8, 7, 5, 43, 6, 2, 15, 0
16, 51, 16, 31, 10, 21, 41, 53, 1, 2, 12, 24, 0
8, 7, 128, 111, 14, 37, 35, 236, 0, 3, 19, 18, 47, 0
1, 8, 2, 7, 2, 1, 12, 16, 0, 0, 5, 2, 82, 12, 0
0, 0, 4, 3, 0, 4, 1, 6, 0, 2, 0, 0, 3, 3, 0, 0
9, 11, 57, 53, 4, 6, 23, 47, 0, 0, 6, 3, 16, 23, 3, 0, 0
4, 2, 26, 54, 4, 41, 17, 27, 0, 6, 8, 5, 8, 16, 1, 2, 9, 0
22, 8, 27, 53, 6, 10, 51, 32, 0, 0, 2, 6, 38, 17, 10, 1, 9, 9, 0
224, 185, 813, 984, 205, 403, 523, 1117, 11, 42, 244, 191, 472, 734, 164, 29, 279, 239, 301
